STATE_1,STATE_1_ABBR,STATE_2,STATE_2_ABBR,PATH,DISTANCE
Alabama,AL,Alabama,AL,AL,0
Alabama,AL,Arizona,AZ,ALMSLATXNMAZ,5
Arizona,AZ,Alabama,AL,AZNMTXLAMSAL,5
Alabama,AL,Arkansas,AR,ALMSAR,2
Arkansas,AR,Alabama,AL,ARMSAL,2
Alabama,AL,California,CA,ALMSLATXNMAZCA,6
California,CA,Alabama,AL,CAAZNMTXLAMSAL,6
Alabama,AL,Colorado,CO,ALTNMOKSCO,4
Colorado,CO,Alabama,AL,COKSMOTNAL,4
Alabama,AL,Connecticut,CT,ALTNKYWVPANYCT,6
Connecticut,CT,Alabama,AL,CTNYPAWVKYTNAL,6
Alabama,AL,Delaware,DE,ALTNVAMDDE,4
Delaware,DE,Alabama,AL,DEMDVATNAL,4
Alabama,AL,Florida,FL,ALFL,1
Florida,FL,Alabama,AL,FLAL,1
Alabama,AL,Georgia,GA,ALGA,1
Georgia,GA,Alabama,AL,GAAL,1
Alabama,AL,Idaho,ID,ALTNMONEWYID,5
Idaho,ID,Alabama,AL,IDWYNEMOTNAL,5
Alabama,AL,Illinois,IL,ALTNKYIL,3
Illinois,IL,Alabama,AL,ILKYTNAL,3
Alabama,AL,Indiana,IN,ALTNKYIN,3
Indiana,IN,Alabama,AL,INKYTNAL,3
Alabama,AL,Iowa,IA,ALTNMOIA,3
Iowa,IA,Alabama,AL,IAMOTNAL,3
Alabama,AL,Kansas,KS,ALTNMOKS,3
Kansas,KS,Alabama,AL,KSMOTNAL,3
Alabama,AL,Kentucky,KY,ALTNKY,2
Kentucky,KY,Alabama,AL,KYTNAL,2
Alabama,AL,Louisiana,LA,ALMSLA,2
Louisiana,LA,Alabama,AL,LAMSAL,2
Alabama,AL,Maine,ME,ALTNKYWVPANYVTNHME,8
Maine,ME,Alabama,AL,MENHVTNYPAWVKYTNAL,8
Alabama,AL,Maryland,MD,ALTNVAMD,3
Maryland,MD,Alabama,AL,MDVATNAL,3
Alabama,AL,Massachusetts,MA,ALTNKYWVPANYMA,6
Massachusetts,MA,Alabama,AL,MANYPAWVKYTNAL,6
Alabama,AL,Michigan,MI,ALTNKYINMI,4
Michigan,MI,Alabama,AL,MIINKYTNAL,4
Alabama,AL,Minnesota,MN,ALTNMOIAMN,4
Minnesota,MN,Alabama,AL,MNIAMOTNAL,4
Alabama,AL,Mississippi,MS,ALMS,1
Mississippi,MS,Alabama,AL,MSAL,1
Alabama,AL,Missouri,MO,ALTNMO,2
Missouri,MO,Alabama,AL,MOTNAL,2
Alabama,AL,Montana,MT,ALTNMONEWYMT,5
Montana,MT,Alabama,AL,MTWYNEMOTNAL,5
Alabama,AL,Nebraska,NE,ALTNMONE,3
Nebraska,NE,Alabama,AL,NEMOTNAL,3
Alabama,AL,Nevada,NV,ALMSLATXNMAZNV,6
Nevada,NV,Alabama,AL,NVAZNMTXLAMSAL,6
Alabama,AL,New Hampshire,NH,ALTNKYWVPANYVTNH,7
New Hampshire,NH,Alabama,AL,NHVTNYPAWVKYTNAL,7
Alabama,AL,New Jersey,NJ,ALTNVAMDPANJ,5
New Jersey,NJ,Alabama,AL,NJPAMDVATNAL,5
Alabama,AL,New Mexico,NM,ALMSLATXNM,4
New Mexico,NM,Alabama,AL,NMTXLAMSAL,4
Alabama,AL,New York,NY,ALTNKYWVPANY,5
New York,NY,Alabama,AL,NYPAWVKYTNAL,5
Alabama,AL,North Carolina,NC,ALGANC,2
North Carolina,NC,Alabama,AL,NCGAAL,2
Alabama,AL,North Dakota,ND,ALTNMOIAMNND,5
North Dakota,ND,Alabama,AL,NDMNIAMOTNAL,5
Alabama,AL,Ohio,OH,ALTNKYOH,3
Ohio,OH,Alabama,AL,OHKYTNAL,3
Alabama,AL,Oklahoma,OK,ALTNMOOK,3
Oklahoma,OK,Alabama,AL,OKMOTNAL,3
Alabama,AL,Oregon,OR,ALTNMONEWYIDOR,6
Oregon,OR,Alabama,AL,ORIDWYNEMOTNAL,6
Alabama,AL,Pennsylvania,PA,ALTNKYWVPA,4
Pennsylvania,PA,Alabama,AL,PAWVKYTNAL,4
Alabama,AL,Rhode Island,RI,ALTNKYWVPANYCTRI,7
Rhode Island,RI,Alabama,AL,RICTNYPAWVKYTNAL,7
Alabama,AL,South Carolina,SC,ALGASC,2
South Carolina,SC,Alabama,AL,SCGAAL,2
Alabama,AL,South Dakota,SD,ALTNMOIASD,4
South Dakota,SD,Alabama,AL,SDIAMOTNAL,4
Alabama,AL,Tennessee,TN,ALTN,1
Tennessee,TN,Alabama,AL,TNAL,1
Alabama,AL,Texas,TX,ALMSLATX,3
Texas,TX,Alabama,AL,TXLAMSAL,3
Alabama,AL,Utah,UT,ALMSAROKCOUT,5
Utah,UT,Alabama,AL,UTCOOKARMSAL,5
Alabama,AL,Vermont,VT,ALTNKYWVPANYVT,6
Vermont,VT,Alabama,AL,VTNYPAWVKYTNAL,6
Alabama,AL,Virginia,VA,ALTNVA,2
Virginia,VA,Alabama,AL,VATNAL,2
Alabama,AL,Washington,WA,ALTNMONEWYIDWA,6
Washington,WA,Alabama,AL,WAIDWYNEMOTNAL,6
Alabama,AL,West Virginia,WV,ALTNKYWV,3
West Virginia,WV,Alabama,AL,WVKYTNAL,3
Alabama,AL,Wisconsin,WI,ALTNMOILWI,4
Wisconsin,WI,Alabama,AL,WIILMOTNAL,4
Alabama,AL,Wyoming,WY,ALTNMONEWY,4
Wyoming,WY,Alabama,AL,WYNEMOTNAL,4
Arizona,AZ,Arizona,AZ,AZ,0
Arizona,AZ,Arkansas,AR,AZNMTXAR,3
Arkansas,AR,Arizona,AZ,ARTXNMAZ,3
Arizona,AZ,California,CA,AZCA,1
California,CA,Arizona,AZ,CAAZ,1
Arizona,AZ,Colorado,CO,AZUTCO,2
Colorado,CO,Arizona,AZ,COUTAZ,2
Arizona,AZ,Connecticut,CT,AZNMOKMOKYWVPANYCT,8
Connecticut,CT,Arizona,AZ,CTNYPAWVKYMOOKNMAZ,8
Arizona,AZ,Delaware,DE,AZNMOKMOKYWVMDDE,7
Delaware,DE,Arizona,AZ,DEMDWVKYMOOKNMAZ,7
Arizona,AZ,Florida,FL,AZNMTXLAMSALFL,6
Florida,FL,Arizona,AZ,FLALMSLATXNMAZ,6
Arizona,AZ,Georgia,GA,AZNMOKARTNGA,5
Georgia,GA,Arizona,AZ,GATNAROKNMAZ,5
Arizona,AZ,Idaho,ID,AZUTID,2
Idaho,ID,Arizona,AZ,IDUTAZ,2
Arizona,AZ,Illinois,IL,AZNMOKMOIL,4
Illinois,IL,Arizona,AZ,ILMOOKNMAZ,4
Arizona,AZ,Indiana,IN,AZNMOKMOILIN,5
Indiana,IN,Arizona,AZ,INILMOOKNMAZ,5
Arizona,AZ,Iowa,IA,AZNMCONEIA,4
Iowa,IA,Arizona,AZ,IANECONMAZ,4
Arizona,AZ,Kansas,KS,AZNMCOKS,3
Kansas,KS,Arizona,AZ,KSCONMAZ,3
Arizona,AZ,Kentucky,KY,AZNMOKMOKY,4
Kentucky,KY,Arizona,AZ,KYMOOKNMAZ,4
Arizona,AZ,Louisiana,LA,AZNMTXLA,3
Louisiana,LA,Arizona,AZ,LATXNMAZ,3
Arizona,AZ,Maine,ME,AZNMOKMOKYWVPANYVTNHME,10
Maine,ME,Arizona,AZ,MENHVTNYPAWVKYMOOKNMAZ,10
Arizona,AZ,Maryland,MD,AZNMOKMOKYWVMD,6
