1,Alabama,Mississippi/Tennessee/Florida/Georgia,4
3,Arizona,Nevada/NewMexico/Utah/California/Colorado,5
4,Arkansas,Oklahoma/Tennessee/Texas/Louisiana/Mississippi/Missouri,6
5,California,Oregon/Arizona/Nevada,3
6,Colorado,NewMexico/Oklahoma/Utah/Wyoming/Arizona/Kansas/Nebraska,7
7,Connecticut,NewYork/RhodeIsland/Massachusetts,3
8,Delaware,NewJersey/Pennsylvania/Maryland,3
9,Florida,Georgia/Alabama,2
10,Georgia,NorthCarolina/SouthCarolina/Tennessee/Alabama/Florida,5
12,Idaho,Utah/Washington/Wyoming/Montana/Nevada/Oregon,6
13,Illinois,Kentucky/Missouri/Wisconsin/Indiana/Iowa/Michigan,6
14,Indiana,Michigan/Ohio/Illinois/Kentucky,4
15,Iowa,Nebraska/SouthDakota/Wisconsin/Illinois/Minnesota/Missouri,6
16,Kansas,Nebraska/Oklahoma/Colorado/Missouri,4
17,Kentucky,Tennessee/Virginia/WestVirginia/Illinois/Indiana/Missouri/Ohio,7
18,Louisiana,Texas/Arkansas/Mississippi,3
19,Maine,NewHampshire,1
20,Maryland,Virginia/WestVirginia/Delaware/Pennsylvania,4
21,Massachusetts,NewYork/RhodeIsland/Vermont/Connecticut/NewHampshire,5
22,Michigan,Ohio/Wisconsin/Illinois/Indiana,5
23,Minnesota,NorthDakota/SouthDakota/Wisconsin/Iowa,5
24,Mississippi,Louisiana/Tennessee/Alabama/Arkansas,4
25,Missouri,Nebraska/Oklahoma/Tennessee/Arkansas/Illinois/Iowa/Kansas/Kentucky,8
26,Montana,SouthDakota/Wyoming/Idaho/NorthDakota,4
27,Nebraska,Missouri/SouthDakota/Wyoming/Colorado/Iowa/Kansas,6
28,Nevada,Idaho/Oregon/Utah/Arizona/California,5
29,NewHampshire,Vermont/Maine/Massachusetts,3
30,NewJersey,Pennsylvania/Delaware/NewYork,3
31,NewMexico,Oklahoma/Texas/Utah/Arizona/Colorado,5
32,NewYork,Pennsylvania/Vermont/Connecticut/Massachusetts/NewJersey,6
33,NorthCarolina,Tennessee/Virginia/Georgia/SouthCarolina,4
34,NorthDakota,SouthDakota/Minnesota/Montana,3
35,Ohio,Michigan/Pennsylvania/WestVirginia/Indiana/Kentucky,5
36,Oklahoma,Missouri/NewMexico/Texas/Arkansas/Colorado/Kansas,6
37,Oregon,Nevada/Washington/California/Idaho,4
38,Pennsylvania,NewYork/Ohio/WestVirginia/Delaware/Maryland/NewJersey,6
39,RhodeIsland,Massachusetts/Connecticut,3
40,SouthCarolina,NorthCarolina/Georgia,2
41,SouthDakota,Nebraska/NorthDakota/Wyoming/Iowa/Minnesota/Montana,6
42,Tennessee,Mississippi/Missouri/NorthCarolina/Virginia/Alabama/Arkansas/Georgia/Kentucky,8
43,Texas,NewMexico/Oklahoma/Arkansas/Louisiana,4
44,Utah,Nevada/NewMexico/Wyoming/Arizona/Colorado/Idaho,6
45,Vermont,NewHampshire/NewYork/Massachusetts,3
46,Virginia,NorthCarolina/Tennessee/WestVirginia/Kentucky/Maryland,5
47,Washington,Oregon/Idaho,2
48,WestVirginia,Pennsylvania/Virginia/Kentucky/Maryland/Ohio,5
49,Wisconsin,Michigan/Minnesota/Illinois/Iowa,4
50,Wyoming,Nebraska/SouthDakota/Utah/Colorado/Idaho/Montana,6
