STATE_1,STATE_1_ABBR,STATE_2,STATE_2_ABBR,PATH,PATH_INVERSE,DISTANCE
Alabama,AL,﻿Alabama,AL,AL,AL,0
﻿Alabama,AL,Arizona,AZ,ALMSLATXNMAZ,AZNMTXLAMSAL,5
﻿Alabama,AL,Arkansas,AR,ALMSAR,ARMSAL,2
﻿Alabama,AL,California,CA,ALMSLATXNMAZCA,CAAZNMTXLAMSAL,6
﻿Alabama,AL,Colorado,CO,ALTNMOKSCO,COKSMOTNAL,4
﻿Alabama,AL,Connecticut,CT,ALTNKYWVPANYCT,CTNYPAWVKYTNAL,6
﻿Alabama,AL,Delaware,DE,ALTNVAMDDE,DEMDVATNAL,4
﻿Alabama,AL,Florida,FL,ALFL,FLAL,1
﻿Alabama,AL,Georgia,GA,ALGA,GAAL,1
﻿Alabama,AL,Idaho,ID,ALTNMONEWYID,IDWYNEMOTNAL,5
﻿Alabama,AL,Illinois,IL,ALTNKYIL,ILKYTNAL,3
﻿Alabama,AL,Indiana,IN,ALTNKYIN,INKYTNAL,3
﻿Alabama,AL,Iowa,IA,ALTNMOIA,IAMOTNAL,3
﻿Alabama,AL,Kansas,KS,ALTNMOKS,KSMOTNAL,3
﻿Alabama,AL,Kentucky,KY,ALTNKY,KYTNAL,2
﻿Alabama,AL,Louisiana,LA,ALMSLA,LAMSAL,2
﻿Alabama,AL,Maine,ME,ALTNKYWVPANYVTNHME,MENHVTNYPAWVKYTNAL,8
﻿Alabama,AL,Maryland,MD,ALTNVAMD,MDVATNAL,3
﻿Alabama,AL,Massachusetts,MA,ALTNKYWVPANYMA,MANYPAWVKYTNAL,6
﻿Alabama,AL,Michigan,MI,ALTNKYINMI,MIINKYTNAL,4
﻿Alabama,AL,Minnesota,MN,ALTNMOIAMN,MNIAMOTNAL,4
﻿Alabama,AL,Mississippi,MS,ALMS,MSAL,1
﻿Alabama,AL,Missouri,MO,ALTNMO,MOTNAL,2
﻿Alabama,AL,Montana,MT,ALTNMONEWYMT,MTWYNEMOTNAL,5
﻿Alabama,AL,Nebraska,NE,ALTNMONE,NEMOTNAL,3
﻿Alabama,AL,Nevada,NV,ALMSLATXNMAZNV,NVAZNMTXLAMSAL,6
﻿Alabama,AL,New Hampshire,NH,ALTNKYWVPANYVTNH,NHVTNYPAWVKYTNAL,7
﻿Alabama,AL,New Jersey,NJ,ALTNVAMDPANJ,NJPAMDVATNAL,5
﻿Alabama,AL,New Mexico,NM,ALMSLATXNM,NMTXLAMSAL,4
﻿Alabama,AL,New York,NY,ALTNKYWVPANY,NYPAWVKYTNAL,5
